,0
Salazar,2
Same,7
Sanguini,5
Saturday,21
Savage,1
Save,1
Saves,1
Say,2
Saying,1
Says,1
Scales,1
Scarpin,1
School,4
Scored,1
Scowling,1
Scrim,1
Scrimgeour,82
Scrivenshaft,1
Scum,1
Sea,1
Seamus,23
Second,1
Seconded,1
Secondly,1
Seconds,4
Secrecy,7
Secret,1
Secrets,6
Sectum,1
Sectumsempra,4
Sectumsempral,2
Security,1
See,14
Seeker,2
Seemed,1
Seemingly,1
Seen,1
Seer,2
Seized,1
Seizing,1
Self,1
Senior,1
Sensor,5
Sensors,3
September,4
Serious,2
Seriously,2
Serves,1
Service,1
Services,1
Set,1
Settle,1
Seven,4
Seventy,1
Several,5
Severus,34
Shacklebolt,4
Shall,10
Shame,3
Share,1
She,205
Shh,4
Shhhh,1
Shield,8
Shielding,1
Shocks,1
Shop,4
Shortly,1
Should,5
Shouldn,2
Shunpike,8
Shut,1
Sickles,3
Side,4
Silence,4
Silently,1
Since,4
Sincerely,2
Sir,36
Sirius,57
Sisters,2
Sit,4
Sitting,3
Six,1
Sixteen,2
Sixty,1
Skeeter,1
Skiving,1
Skrewt,1
Slipping,1
Slither,1
Sloper,4
Slowly,2
Slug,6
Sluggy,2
Slughorn,399
Slytherin,44
Slytherins,13
Smacking,1
Smart,2
Smiling,2
Smirking,1
Smith,18
Sn,1
Snackboxes,1
Snap,1
Snape,377
Snare,1
Snargaluff,2
Sneakoscopes,2
Snitch,11
Snogging,1
Snow,2
So,110
Society,1
Sodden,1
Solution,1
Some,11
Somebody,5
Somehow,4
Someone,9
Somerset,1
Something,8
Sometimes,5
Somewhere,2
Soon,2
Sooner,1
Sorcerer,4
Sorry,8
Sort,1
Sorting,4
Sounds,1
Speak,2
Special,1
Specialis,2
Spectrespecs,4
Spell,2
Spellman,1
Spells,5
Spinner,1
Splinch,1
Splinching,2
Splitting,1
Spoken,1
Spots,1
Sprout,17
Squad,4
Squeezing,1
Squib,3
Squibs,2
St,10
Staggering,1
Stan,10
Stand,3
Standard,2
Standing,2
Stanley,1
Staring,1
Starting,1
Station,4
Stay,3
Step,3
Stick,1
Still,15
Stone,5
Stop,7
Strange,1
Street,4
Stretching,2
Strong,2
Stubbs,2
Stupe,1
Stupefied,4
Stupefy,1
Stutter,1
Such,2
Summon,1
Summoning,1
Summons,2
Sunday,2
Sure,5
Surely,8
Susan,3
Swearing,1
Sweet,1
Sweetheart,2
Sybill,4
Syllabary,1
T,16
TAILS,1
TEACH,1
TEAM,1
THAT,1
THE,20
THEY,1
THIEVING,1
THREE,1
TO,2
TOLD,1
TOMB,1
TOWER,1
Take,7
Taking,3
Talk,1
Talking,1
Tampered,1
Tatting,1
Tea,3
Tears,2
Tell,6
Ten,6
Tentacula,1
Tergeol,1
Terrible,1
Terror,1
Terry,1
Test,4
Tests,1
Tha,3
Thank,18
Thanks,19
That,125
The,486
Their,3
Them,1
Then,72
There,200
Thereafter,1
Therefore,1
These,11
They,173
Thieving,1
Think,6
Thinking,1
Thinks,1
Third,5
This,90
Thomas,5
Those,7
Though,7
Thought,1
Thousand,1
Three,19
Thursday,1
Thus,2
Tiberius,1
Time,7
Tiny,1
Tm,5
To,37
Tobias,2
Today,4
Together,4
Told,2
Tom,72
Tomorrow,1
Toms,1
Tonight,2
Tonks,60
Too,2
Totalusl,5
Touching,1
Tournament,2
Tower,12
Transfiguration,18
Transfigured,1
Translation,1
Trapped,1
Trees,2
Trelawney,39
Trevor,3
Tricky,2
Triwizard,2
Troll,1
True,1
Trust,1
Try,2
Turn,1
Turners,2
Turning,1
Turns,2
Tweaky,1
Twenty,1
Twice,3
Twilfitt,1
Two,11
Twycross,13
Typical,1
Typically,1
U,4
UNBREAKABLE,1
UNKNOWABLE,1
UP,1
Ugly,1
Um,1
Umbridge,12
Unbreakable,7
Uncle,27
Unconfirmed,1
Under,4
Underneath,1
Undoubtedly,3
Unforgivable,3
Unfortunately,4
Unless,2
Unlucky,1
Unnoticed,1
Unorthodox,1
Unplottable,2
Until,2
Up,3
Upset,1
Urgent,2
Urquhart,2
Us,1
Use,2
Used,1
VERY,1
VICTORIOUS,1
VOLDEMORT,2
VOW,1
Vaisey,3
Vampires,1
Vance,4
Vane,13
Vanished,1
Vanishing,4
Variety,1
Ve,1
Vector,1
Venomous,1
Veritaserum,5
Verity,1
Vernon,27
Very,31
Viktor,2
Vincent,1
Violet,1
Vivacious,1
Vividly,1
Vol,1
Voldemort,242
Vow,6
W,31
WHITE,1
WHO,1
WHY,1
WILL,1
WIZARDING,1
WON,2
WORRYING,2
WRONG,1
Wait,1
Wand,2
Want,2
Wanted,1
Warbeck,2
Warlock,1
Was,16
Wasn,1
Watch,3
Water,2
Wazlib,2
We,167
Weak,1
Weasley,211
Weasleys,17
Wednesday,1
Weird,2
Well,233
Wellington,1
Were,3
Werewolves,2
West,3
Wha,6
Whalley,1
What,204
Whatever,5
Wheeling,1
Wheezes,7
Wheezy,1
When,61
Where,37
Whereas,1
Wherever,1
Whether,2
Which,5
While,7
Whispers,1
White,1
Who,62
